case_id,candidate,dice,precision,recall,pred_voxels,target_voxels,overlap_voxels,detected
case_0018,union_t0.65,0.891448969656911,0.8191441777235439,0.977754048761385,6707,5619,5494,1.0
case_0018,intersection_t0.65,0.8669922975757401,0.9180425701195185,0.8213205196639592,5027,5619,4615,1.0
case_0018,medformer_lcc_t0.70,0.852452969383205,0.8845933014337137,0.822566292933222,5225,5619,4622,1.0
case_0018,union_t0.70,0.8935407672876976,0.8238209672561974,0.9761523402723329,6658,5619,5485,1.0
case_0018,intersection_t0.70,0.8581209585385525,0.9213804370003648,0.802989855844807,4897,5619,4512,1.0
case_0018,medformer_lcc_t0.75,0.8481783272446864,0.8952155001959368,0.8058373376031218,5058,5619,4528,1.0
case_0018,union_t0.75,0.8965573636430644,0.8293494704979889,0.9756184374426489,6610,5619,5482,1.0
case_0018,intersection_t0.75,0.85043762623752,0.9252825449959705,0.7867948033443909,4778,5619,4421,1.0
case_0018,fusion_w0.40_t0.35,0.9007343840243413,0.8396923076910159,0.9713472148051765,6500,5619,5458,1.0
case_0018,fusion_w0.40_t0.40,0.8996568750515527,0.8491311216416285,0.9565759031839178,6330,5619,5375,1.0
case_0018,fusion_w0.40_t0.45,0.8996568750515527,0.8491311216416285,0.9565759031839178,6330,5619,5375,1.0
case_0018,fusion_w0.40_t0.50,0.8996568750515527,0.8491311216416285,0.9565759031839178,6330,5619,5375,1.0
case_0018,fusion_w0.40_t0.55,0.8996568750515527,0.8491311216416285,0.9565759031839178,6330,5619,5375,1.0
case_0018,fusion_w0.40_t0.60,0.8996568750515527,0.8491311216416285,0.9565759031839178,6330,5619,5375,1.0
case_0018,fusion_w0.40_t0.65,0.9022021848440244,0.8796280642419617,0.9259654742820325,5915,5619,5203,1.0
case_0018,fusion_w0.50_t0.35,0.8935407672876976,0.8238209672561974,0.9761523402723329,6658,5619,5485,1.0
case_0018,fusion_w0.50_t0.40,0.8986292374612996,0.833942717853696,0.9741946965634914,6564,5619,5474,1.0
case_0018,fusion_w0.50_t0.45,0.9014387299479895,0.8418532818519817,0.9701014415359137,6475,5619,5451,1.0
case_0018,fusion_w0.50_t0.50,0.8996568750515527,0.8491311216416285,0.9565759031839178,6330,5619,5375,1.0
case_0018,fusion_w0.50_t0.55,0.903331607111252,0.8769901122827602,0.931304502578873,5967,5619,5233,1.0
case_0018,fusion_w0.50_t0.60,0.9008141468958234,0.8864576154361019,0.9156433529081409,5804,5619,5145,1.0
case_0018,fusion_w0.50_t0.65,0.8968324190400842,0.8917825092365093,0.9019398469462504,5683,5619,5068,1.0
case_0018,fusion_w0.60_t0.35,0.8883690917882816,0.8123617052650651,0.9800676276900159,6779,5619,5507,1.0
case_0018,fusion_w0.60_t0.40,0.8920477621631938,0.8205319784805432,0.977220145931701,6692,5619,5491,1.0
case_0018,fusion_w0.60_t0.45,0.8997731664278754,0.8521642266059004,0.9530165509860242,6284,5619,5355,1.0
case_0018,fusion_w0.60_t0.50,0.9011647824589746,0.8685818061732399,0.936287595655924,6057,5619,5261,1.0
case_0018,fusion_w0.60_t0.55,0.901217391303564,0.8811426628109486,0.9222281544742441,5881,5619,5182,1.0
case_0018,fusion_w0.60_t0.60,0.8954480796578098,0.8946526914178458,0.8962448834296205,5629,5619,5036,1.0
case_0018,fusion_w0.60_t0.65,0.8895683453229409,0.8991092528614814,0.880227798539099,5501,5619,4946,1.0
case_0018,fusion_w0.70_t0.35,0.8874487284652276,0.8231623801539748,0.962626801920337,6571,5619,5409,1.0
case_0018,fusion_w0.70_t0.40,0.8892791436687663,0.8387758321488582,0.9462537818100263,6339,5619,5317,1.0
case_0018,fusion_w0.70_t0.45,0.8916786835177778,0.8518638573730116,0.9353977576064506,6170,5619,5256,1.0
